id	text	pinyin	voice	file
amb_001	你好。	Nǐ hǎo.	zh-CN-YunyangNeural	audio/phase1/amb_001.opus
amb_002	你回家吗？	Nǐ huí jiā ma?	zh-CN-YunyangNeural	audio/phase1/amb_002.opus
amb_003	明天你来吗？	Míngtiān nǐ lái ma?	zh-CN-YunyangNeural	audio/phase1/amb_003.opus
amb_004	请坐。	Qǐng zuò.	zh-CN-XiaoxiaoNeural	audio/phase1/amb_004.opus
amb_005	你喝茶吗？	Nǐ hē chá ma?	zh-CN-XiaoxiaoNeural	audio/phase1/amb_005.opus
amb_006	我喜欢汉语。	Wǒ xǐhuan Hànyǔ.	zh-CN-XiaoxiaoNeural	audio/phase1/amb_006.opus
amb_007	有米饭，有八个碗。	Yǒu mǐfàn, yǒu bā ge wǎn.	zh-CN-YunjianNeural	audio/phase1/amb_007.opus
amb_008	六个杯子在桌子上。	Liù ge bēizi zài zhuōzi shàng.	zh-CN-YunjianNeural	audio/phase1/amb_008.opus
amb_009	几个人？请坐椅子。	Jǐ ge rén? Qǐng zuò yǐzi.	zh-CN-YunjianNeural	audio/phase1/amb_009.opus
amb_010	你的衣服很漂亮。	Nǐ de yīfu hěn piàoliang.	zh-CN-YunxiNeural	audio/phase1/amb_010.opus
amb_011	我爱吃米饭。	Wǒ ài chī mǐfàn.	zh-CN-YunxiNeural	audio/phase1/amb_011.opus
amb_012	这本书，我读。	Zhè běn shū, wǒ dú.	zh-CN-YunyangNeural	audio/phase1/amb_012.opus
amb_013	我四十岁。	Wǒ sìshí suì.	zh-CN-YunyangNeural	audio/phase1/amb_013.opus
amb_014	我去商店。	Wǒ qù shāngdiàn.	zh-CN-XiaoxiaoNeural	audio/phase1/amb_014.opus
amb_015	他在前面。	Tā zài qiánmiàn.	zh-CN-XiaoxiaoNeural	audio/phase1/amb_015.opus
amb_016	谢谢你。	Xièxie nǐ.	zh-CN-YunyangNeural	audio/phase1/amb_016.opus
amb_017	苹果，三块。	Píngguǒ, sān kuài.	zh-CN-XiaoxiaoNeural	audio/phase1/amb_017.opus
amb_018	五分钟，飞机去北京。	Wǔ fēnzhōng, fēijī qù Běijīng.	zh-CN-YunxiNeural	audio/phase1/amb_018.opus
amb_019	现在几点？	Xiànzài jǐ diǎn?	zh-CN-YunxiNeural	audio/phase1/amb_019.opus
amb_020	医生的衣服很漂亮。	Yīshēng de yīfu hěn piàoliang.	zh-CN-XiaoxiaoNeural	audio/phase1/amb_020.opus
p1_arrival_00_e1	你好。	Nǐ hǎo.	zh-CN-YunyangNeural	audio/phase1/p1_arrival_00_e1.opus
p1_arrival_00_e1_h	好。	Hǎo.	zh-CN-YunyangNeural	audio/phase1/p1_arrival_00_e1_h.opus
p1_arrival_00_e1_r1	你好。	Nǐ hǎo.	zh-CN-YunxiNeural	audio/phase1/p1_arrival_00_e1_r1.opus
p1_arrival_00_e1_r2	你。	Nǐ.	zh-CN-YunxiNeural	audio/phase1/p1_arrival_00_e1_r2.opus
p1_arrival_00_e2	是我。是你。	Shì wǒ. Shì nǐ.	zh-CN-YunyangNeural	audio/phase1/p1_arrival_00_e2.opus
p1_arrival_00_e2_h	我。	Wǒ.	zh-CN-YunyangNeural	audio/phase1/p1_arrival_00_e2_h.opus
p1_arrival_00_e2_r1	我。	Wǒ.	zh-CN-YunxiNeural	audio/phase1/p1_arrival_00_e2_r1.opus
p1_arrival_00_e2_r2	你。	Nǐ.	zh-CN-YunxiNeural	audio/phase1/p1_arrival_00_e2_r2.opus
p1_arrival_00_e3	这。那。	Zhè. Nà.	zh-CN-YunyangNeural	audio/phase1/p1_arrival_00_e3.opus
p1_arrival_00_e3_h	这。	Zhè.	zh-CN-YunyangNeural	audio/phase1/p1_arrival_00_e3_h.opus
